deployment_id,species,time_in_fov_s,image_time_s,duration_days
SUN_PRAIRIE_115_R2,Mule deer,0,0,25.71938657
SUN_PRAIRIE_115_R2,Pronghorn,0,0,25.71938657
SUN_PRAIRIE_115_R2,White-tailed deer,0,0,25.71938657
SUN_PRAIRIE_115_R3,American bison,0,0,1.671782407
SUN_PRAIRIE_115_R3,Coyote,0,0,1.671782407
SUN_PRAIRIE_115_R3,Mule deer,0,0,1.671782407
SUN_PRAIRIE_115_R3,Pronghorn,0,0,1.671782407
SUN_PRAIRIE_115_R3,White-tailed deer,0,0,1.671782407
SUN_PRAIRIE_115_R4,American bison,320.6510853023628,350,9.66650463
SUN_PRAIRIE_115_R4,Coyote,0,0,9.66650463
SUN_PRAIRIE_115_R4,Mule deer,0,0,9.66650463
SUN_PRAIRIE_115_R4,Pronghorn,0,0,9.66650463
SUN_PRAIRIE_115_R4,White-tailed deer,0,0,9.66650463
SUN_PRAIRIE_115_R5,American bison,1122.786116894678,1076,6.596226852
SUN_PRAIRIE_115_R5,Coyote,31.04175824175824,42,6.596226852
