deployment,species,mean_density_km2,mean_density_image_time_km2
SUN_PRAIRIE_96,White-tailed deer,0.12684207954493135,0.22967338182276165
SUN_PRAIRIE_97,American bison,1.2036772702299046,1.0110685250488345
SUN_PRAIRIE_97,Coyote,0,0
SUN_PRAIRIE_97,Mule deer,0.2332708568273914,0.13135645089270923
SUN_PRAIRIE_97,Pronghorn,0.013722220149894803,0.01704112664380326
SUN_PRAIRIE_97,White-tailed deer,0,0
SUN_PRAIRIE_98,American bison,365.20171803170365,325.2511343548946
SUN_PRAIRIE_98,Coyote,0,0
SUN_PRAIRIE_98,Mule deer,0.20103641049757962,0.17384965491906046
SUN_PRAIRIE_98,Pronghorn,0.17519980615853797,0.07311951987900667
SUN_PRAIRIE_98,White-tailed deer,0,0
SUN_PRAIRIE_99,American bison,0.030952179337354196,0.04249017724787662
SUN_PRAIRIE_99,Coyote,0.0648277898121923,0.07799437068932204
SUN_PRAIRIE_99,Mule deer,0.08634176206869038,0.15757871561227618
SUN_PRAIRIE_99,Pronghorn,0.006120649289674921,0.002129968947066776
SUN_PRAIRIE_99,White-tailed deer,0,0
